"";"id";"treatment";"treat1";"treat3";"junsep07";"mayoct06";"marapr07";"fairmktvalue";"ageofhome";"acres";"pct_white";"pct_edu";"pct_pov";"pct_rent";"percapincome";"hhsize";"p1_log";"p1_trim";"p3_log";"p3_trim"
"9";82461;1;1;0;42;67;14;394220;8;1.04249;0.895833313465118;0.714134454727173;0.0307017546147108;0;36095;3;0.058757808059454;1;NA;NA
"15";67029;1;1;0;128;220;45;845390;12;0.924975;0.873786389827728;0.831850111484528;0.018226332962513;0;31875;3.54999995231628;0.108448162674904;1;NA;NA
"26";29700;1;1;0;13;36;1;144080;21;0.389706;0.800347208976746;0.775980591773987;0.0321910679340363;0.0718157216906548;24818;3.11999988555908;0.0954585075378418;1;NA;NA
"27";10078;1;1;0;55;75;25;249220;29;0.491344;0.986928105354309;0.819265127182007;0;0.0576923079788685;35038;2.94000005722046;0.120446249842644;1;NA;NA
"29";48499;1;1;0;46;54;16;390040;19;0.352571;0.944214880466461;0.855911314487457;0.0158963073045015;0.0177935939282179;31669;3.44000005722046;0.109795391559601;1;NA;NA
"50";33020;1;1;0;16;48;10;135200;22;0.424625;0.856521725654602;0.79160088300705;0.0245215315371752;0.0733333304524422;25202;3.0699999332428;0.0980565771460533;1;NA;NA
"53";3251;1;1;0;16;34;7;191090;36;0.425385;0.898832678794861;0.860913693904877;0.00279037328436971;0.0599999986588955;46567;2.5699999332428;0.128460317850113;1;NA;NA
"54";75733;1;1;0;7;28;6;160600;10;0.320136;0.76849639415741;0.802745461463928;0.0182307232171297;0.0416666679084301;28895;2.91000008583069;0.0640752390027046;1;NA;NA
"64";85130;1;1;0;21;30;9;200530;8;0.485814;1;0.762738823890686;0.0177415478974581;0;31581;2.79999995231628;0.0603482946753502;1;NA;NA
"80";56477;1;1;0;26;46;13;211600;18;0.764013;0.935813963413239;0.831641793251038;0.0153846153989434;0.0485714301466942;35192;3.0699999332428;0.0785887464880943;1;NA;NA
"94";88253;1;1;0;18;28;9;282750;6;0.558758;0.961290299892426;0.817735016345978;0.0128636695444584;0.00602409616112709;32422;3.73000001907349;0.0598243698477745;1;NA;NA
"95";60717;1;1;0;31;38;16;661610;16;0.452853;0.886010348796844;0.894164562225342;0.0329698212444782;0;49579;3.50999999046326;0.0977488681674004;1;NA;NA
"110";18528;1;1;0;38;101;11;674210;23;1.25424;0.938123762607574;0.885228455066681;0.0357274413108826;0.0236686393618584;54061;2.96000003814697;0.101937115192413;1;NA;NA
"116";72076;1;1;0;20;40;10;429630;10;0.2823;0.832740187644958;0.780821919441223;0.0561381876468658;0.0495049506425858;37452;2.77999997138977;0.0706847906112671;1;NA;NA
"124";102607;1;1;0;98;182;35;531780;1;1.8231;1;0.762738823890686;0.0177415478974581;0;31581;3.5;0.0491122677922249;1;NA;NA
"171";83494;1;1;0;36;45;16;314200;8;0.660617;0.905564904212952;0.762738823890686;0.0177415478974581;0;31581;3.58999991416931;0.064125768840313;1;NA;NA
"182";10351;1;1;0;49;63;16;198640;23;0.338305;0.924242436885834;0.715736031532288;0;0;26467;2.75;0.108214244246483;1;NA;NA
"186";89736;1;1;0;28;53;13;218680;7;0.223448;0.707650244235992;0.802745461463928;0.0182307232171297;0.00784313771873713;28895;2.86999988555908;0.0630563274025917;1;NA;NA
"187";16536;1;1;0;27;53;6;302200;24;0.447457;0.851495027542114;0.878430426120758;0.0560905560851097;0.325291842222214;46796;2.33999991416931;0.0664699822664261;1;NA;NA
"190";61313;1;1;0;9;55;6;204020;16;0.727289;0.974358975887299;0.787392735481262;0.0413326658308506;0;30921;3.25;0.0824245363473892;1;NA;NA
"194";87235;1;1;0;22;30;13;208000;7;0.201459;0.707650244235992;0.802745461463928;0.0182307232171297;0.00784313771873713;28895;2.86999988555908;0.0632232576608658;1;NA;NA
"195";31761;1;1;0;40;33;21;189780;48;2.31612;0.941368103027344;0.810745775699615;0.00770416017621756;0.0660377368330956;33812;2.90000009536743;0.182827308773994;1;NA;NA
"199";99642;1;1;0;23;48;11;105110;43;0.263891;0.840490818023682;0.624137938022614;0.0562833584845066;0.28571429848671;22867;3.32999992370605;0.147893667221069;1;NA;NA
"206";14562;1;1;0;28;35;9;124410;25;0.470472;0.882716059684753;0.793103456497192;0.0202883072197437;0.0598290599882603;31328;2.76999998092651;0.100283399224281;1;NA;NA
"211";670;1;1;0;62;88;17;187220;33;0.465679;0.880701780319214;0.698770463466644;0.0033266800455749;0.0849056616425514;32324;2.69000005722046;0.121240310370922;1;NA;NA
"217";32675;1;1;0;43;55;19;175070;28;0.424385;0.857954561710358;0.668727934360504;0.0377471521496773;0.0819672122597694;28308;2.74000000953674;0.110536821186543;1;NA;NA
"220";34706;1;1;0;21;47;8;245580;34;0.687722;0.99193549156189;0.674515783786774;0.0822869390249252;0.0222222227603197;25800;2.75999999046326;0.164027199149132;1;NA;NA
"225";30380;1;1;0;33;38;6;197980;38;0.377487;0.823728799819946;0.667164206504822;0.0162767041474581;0.150943398475647;27711;2.77999997138977;0.143814101815224;1;NA;NA
"234";61864;1;1;0;127;177;27;555740;13;0.489848;0.910681426525116;0.930495202541351;0;0.0335365869104862;44563;3.30999994277954;0.079097718000412;1;NA;NA
"240";28961;1;1;0;56;87;18;215340;21;0.513832;0.861111104488373;0.930495202541351;0;0;44563;3.78999996185303;0.0871846526861191;1;NA;NA
"244";20241;1;1;0;5;30;3;340700;27;0.711801;0.883668899536133;0.927120685577393;0;0.0604651160538197;51380;3.11999988555908;0.0975446626543999;1;NA;NA
"252";86603;1;1;0;23;29;13;162530;7;0.134184;0.833333313465118;0.802745461463928;0.0182307232171297;0;28895;2.63000011444092;0.0627871155738831;1;NA;NA
"265";61583;1;1;0;53;92;34;286510;14;0.714818;0.931937158107758;0.831850111484528;0.018226332962513;0;31875;3.53999996185303;0.0814999416470528;1;NA;NA
"273";81227;1;1;0;62;79;21;411920;8;0.297956;0.777777791023254;0.785343706607819;0.0154028432443738;0;33318;3.8199999332428;0.0701821222901344;1;NA;NA
"280";48685;1;1;0;48;75;29;378510;20;0.369015;0.958955228328705;0.801927208900452;0;0;35457;3.44000005722046;0.10355456918478;1;NA;NA
"291";97521;1;1;0;22;29;7;234110;3;0.433574;1;0.941069006919861;0.00843078643083572;0.25;46492;3.5;0.0320491380989552;0;NA;NA
"294";62743;1;1;0;46;189;15;309390;15;0.412198;0.942271888256073;0.894164562225342;0.0329698212444782;0.0129310349002481;49579;2.30999994277954;0.0674623399972916;1;NA;NA
"329";54679;1;1;0;1;40;12;346190;19;0.796998;1;0.894164562225342;0.0329698212444782;0.0799999982118607;49579;2.51999998092651;0.0740192085504532;1;NA;NA
"330";60210;1;1;0;41;66;14;366280;16;0.773883;0.977777779102325;0.831850111484528;0.018226332962513;0.00746268639340997;31875;3.35999989509583;0.0913916900753975;1;NA;NA
"331";58327;1;1;0;45;61;13;339060;17;0.355423;0.915159940719604;0.793103456497192;0.0202883072197437;0.0410958901047707;31328;3.27999997138977;0.0914221033453941;1;NA;NA
"338";78342;1;1;0;23;42;12;330450;9;0.300847;0.936962723731995;0.755598425865173;0.0408454053103924;0.0576923079788685;29392;3.35999989509583;0.0686922296881676;1;NA;NA
"340";101251;1;1;0;39;47;19;213580;2;0.20236;0.800347208976746;0.775980591773987;0.0321910679340363;0.0718157216906548;24818;3.11999988555908;0.0512749217450619;1;NA;NA
"343";76807;1;1;0;17;33;10;272830;9;0.329265;0.931623935699463;0.701378226280212;0.0351195894181728;0;28775;3.54999995231628;0.0684999972581863;1;NA;NA
"350";62732;1;1;0;19;31;8;198560;15;0.536595;0.918103456497192;0.747302174568176;0.0162510499358177;0.0205479450523853;26679;3.1800000667572;0.0800100415945053;1;NA;NA
"353";26587;1;1;0;51;85;39;138000;23;0.361822;0.80715936422348;0.79160088300705;0.0245215315371752;0.0311418678611517;25202;3;0.109134010970592;1;NA;NA
"354";46867;1;1;0;30;63;16;161930;20;0.312984;0.941368103027344;0.810745775699615;0.00770416017621756;0.0660377368330956;33812;2.90000009536743;0.0835661664605141;1;NA;NA
"366";27678;1;1;0;68;121;59;274250;21;0.388606;0.927625775337219;0.775771260261536;0.016571968793869;0.084548108279705;29932;3.29999995231628;0.0963801294565201;1;NA;NA
"368";44450;1;1;0;18;22;9;234080;21;1.1395;0.800000011920929;0.789386391639709;0.0352941192686558;0.0526315793395042;33397;3.16000008583069;0.0860825926065445;1;NA;NA
"384";6653;1;1;0;54;37;8;145970;37;0.583859;0.909090936183929;0.681227266788483;0.0159744415432215;0.0588235296308994;30778;2.58999991416931;0.143065169453621;1;NA;NA
