"";"id";"treatment";"treat1";"treat3";"junsep07";"mayoct06";"marapr07";"fairmktvalue";"ageofhome";"acres";"pct_white";"pct_edu";"pct_pov";"pct_rent";"percapincome";"hhsize";"p1_log";"p1_trim";"p3_log";"p3_trim"
"1";80667;1;1;0;35;33;7;291920;8;0.150254;0.5;0.879587173461914;0.0308189019560814;0;48696;2.52999997138977;0.0548031851649284;1;NA;NA
"6";92924;1;1;0;25;47;12;200460;4;0.511561;0.941747546195984;0.566995739936829;0.00510638300329447;0.0769230797886848;20922;2.64000010490417;0.0465192422270775;1;NA;NA
"8";37186;1;1;0;21;33;12;166750;13;1.29416;0.257142871618271;0.462885737419128;0.0754422470927238;0.0399999991059303;21891;2.79999995231628;0.0573542974889278;1;NA;NA
"9";82461;1;1;0;42;67;14;394220;8;1.04249;0.895833313465118;0.714134454727173;0.0307017546147108;0;36095;3;0.058757808059454;1;NA;NA
"14";101095;1;1;0;24;61;13;277810;2;0.27836;0.953947365283966;0.634598433971405;0.0307147074490786;0.0384615398943424;26403;2.92000007629395;0.0492133796215057;1;NA;NA
"15";67029;1;1;0;128;220;45;845390;12;0.924975;0.873786389827728;0.831850111484528;0.018226332962513;0;31875;3.54999995231628;0.108448162674904;1;NA;NA
"22";41388;1;1;0;16;28;9;130490;28;0.57278;0.679611623287201;0.405178993940353;0.0282279141247272;0.0909090936183929;21526;3.11999988555908;0.0937181413173676;1;NA;NA
"26";29700;1;1;0;13;36;1;144080;21;0.389706;0.800347208976746;0.775980591773987;0.0321910679340363;0.0718157216906548;24818;3.11999988555908;0.0954585075378418;1;NA;NA
"27";10078;1;1;0;55;75;25;249220;29;0.491344;0.986928105354309;0.819265127182007;0;0.0576923079788685;35038;2.94000005722046;0.120446249842644;1;NA;NA
"29";48499;1;1;0;46;54;16;390040;19;0.352571;0.944214880466461;0.855911314487457;0.0158963073045015;0.0177935939282179;31669;3.44000005722046;0.109795391559601;1;NA;NA
"48";93145;1;1;0;30;53;17;344440;4;0.388838;0.713178277015686;0.718206167221069;0.0733772367238998;0.0446927361190319;37000;2.16000008583069;0.0509254112839699;1;NA;NA
"50";33020;1;1;0;16;48;10;135200;22;0.424625;0.856521725654602;0.79160088300705;0.0245215315371752;0.0733333304524422;25202;3.0699999332428;0.0980565771460533;1;NA;NA
